acoes_tickers,1,2,3,4,5,6,7,8,9,10,11,12
ABEV3,5,3,1,1,0,1,3,2,1,0,2,10
ALOS3,0,0,0,0,9,1,2,0,0,0,0,0
ALPA4,0,0,2,7,0,1,4,0,3,3,2,6
ARZZ3,8,0,0,1,4,5,8,2,2,4,3,7
ASAI3,0,1,0,0,0,3,0,0,0,1,0,0
B3SA3,11,0,0,11,3,2,11,1,2,11,0,4
BBAS3,0,5,25,0,10,14,0,17,12,0,11,10
BBDC3,11,12,19,10,10,12,17,9,9,10,9,12
BBDC4,11,12,19,10,10,12,17,9,9,10,9,12
BBSE3,1,14,8,1,0,0,0,16,0,0,0,0
BEEF3,1,0,0,2,2,0,0,2,0,0,2,0
BPAC11,1,9,0,0,0,0,0,5,0,0,0,0
BRAP4,2,0,0,0,15,0,1,1,0,0,7,3
BRFS3,0,5,0,1,0,0,0,3,0,0,0,0
BRKM5,0,0,0,3,2,0,0,0,0,1,0,3
CCRO3,0,0,0,9,2,0,0,0,0,6,3,2
CIEL3,1,5,12,2,3,2,0,2,14,0,5,2
CMIG4,0,0,0,0,0,20,1,0,1,0,0,24
CMIN3,1,0,0,0,7,0,0,2,0,0,3,0
COGN3,0,0,2,3,5,1,1,6,0,0,5,0
CPFE3,1,0,0,0,4,6,1,0,0,3,5,7
CPLE6,0,0,0,1,1,12,0,6,1,0,6,1
CRFB3,0,0,0,0,1,7,0,1,3,0,4,5
CSAN3,0,1,0,0,13,2,0,0,1,1,0,2
CSNA3,1,0,2,0,8,0,0,1,1,0,1,3
CVCB3,1,0,0,0,4,3,0,0,0,0,0,5
CYRE3,0,0,0,0,0,5,2,1,0,0,0,6
DXCO3,0,9,1,1,0,1,0,2,0,1,0,2
EGIE3,5,2,5,1,2,2,6,0,4,1,4,3
ELET3,0,1,0,0,4,0,0,2,5,0,0,0
ELET6,0,1,0,0,4,1,0,2,5,0,0,1
EMBR3,5,0,0,5,4,0,5,0,0,5,0,0
ENGI11,1,0,8,2,0,1,1,4,5,0,0,0
EQTL3,0,0,0,0,0,2,0,0,0,0,0,12
EZTC3,0,0,3,0,5,0,1,3,1,1,4,1
FLRY3,3,0,2,5,2,0,0,5,0,2,1,6
GGBR4,0,0,10,0,6,2,0,5,4,0,8,6
GOAU4,0,0,9,0,8,2,0,5,2,0,7,5
HAPV3,1,0,0,4,1,0,4,0,3,1,0,0
HYPE3,23,1,0,0,3,0,0,1,0,0,0,0
IGTI11,0,0,2,1,1,1,1,1,1,0,1,1
IRBR3,0,0,0,6,0,0,0,0,2,0,2,1
ITSA4,11,7,19,16,0,1,9,15,0,13,0,0
ITUB4,8,15,28,9,9,9,9,22,8,8,8,8
JBSS3,0,0,0,0,4,6,0,1,0,0,2,0
KLBN11,0,13,0,2,8,0,0,8,0,0,13,0
LREN3,3,0,0,29,14,0,3,0,0,3,0,0
LWSA3,0,0,0,0,1,0,0,0,0,0,0,1
MGLU3,0,0,0,6,5,0,0,3,0,0,0,0
MRFG3,0,0,0,2,0,0,0,0,2,0,0,2
MRVE3,1,0,1,1,3,5,1,0,0,2,1,3
MULT3,3,1,1,2,4,2,0,0,2,5,1,2
NTCO3,0,4,0,10,2,0,0,4,0,0,0,1
PCAR3,0,0,0,0,4,8,0,3,0,0,3,2
PETR3,4,5,2,3,8,6,2,6,2,1,2,10
PETR4,4,8,2,4,12,8,2,6,2,1,2,10
PETZ3,0,0,0,0,6,2,0,0,0,0,0,3
PRIO3,0,0,0,0,0,0,0,0,0,0,0,1
RADL3,0,0,0,0,24,0,0,0,0,0,0,22
RAIL3,0,0,0,0,3,1,0,0,0,0,0,0
RAIZ4,0,0,5,1,0,0,0,1,0,2,0,2
RDOR3,0,0,1,2,1,0,3,0,3,1,0,3
RECV3,0,0,0,0,3,1,0,0,0,0,0,2
RENT3,3,8,0,0,16,0,0,9,1,1,11,0
RRRP3,0,0,0,0,0,0,1,0,0,0,0,0
SANB11,0,9,4,2,5,2,2,2,3,3,4,2
SBSP3,0,0,0,0,1,10,0,0,0,0,0,0
SLCE3,2,0,0,0,11,0,0,1,0,1,0,1
SMTO3,0,0,0,0,0,0,3,10,0,0,2,3
SOMA3,0,0,0,1,0,2,0,0,0,0,0,0
SUZB3,2,0,0,1,6,0,0,0,0,0,1,2
TAEE11,2,0,0,2,18,3,0,15,2,1,7,16
TIMS3,8,0,0,4,1,5,5,1,1,4,3,0
TOTS3,4,0,0,2,11,0,0,4,1,6,0,1
TRPL4,7,0,0,3,2,6,3,2,0,0,4,6
UGPA3,0,0,10,0,0,0,0,9,0,0,0,0
USIM5,0,0,0,0,5,5,1,0,0,2,0,1
VALE3,0,0,8,2,0,2,0,1,8,4,0,3
VAMO3,0,0,0,1,1,0,1,0,0,0,0,2
VBBR3,2,2,0,3,3,0,1,2,7,1,0,3
VIVA3,0,0,0,0,6,0,0,0,0,0,0,1
VIVT3,0,1,1,12,1,4,15,21,0,6,0,16
WEGE3,0,0,33,0,0,0,0,29,0,0,0,0
YDUQ3,0,0,0,0,2,5,0,0,0,0,1,6
